#nodes nodeAwareRingW2 defaultSquareW2 nodeAwareSquareW2 ccsd
  1 40.1141  44.3424 43.8543 47.9185
  2 41.4638  46.5453 46.6900   -
  3 34.9788  37.3833 37.3528 46.3698
  4 36.2957  42.9585 38.3064 47.1548
  6 33.8101  41.8627 38.8487 46.7241
  8 40.0100  39.8774 39.9865 46.7206
  9 34.9218  38.3173 40.0451 46.3212
 12 34.3613  34.3580 38.4628 44.0823
 16 36.3083  35.6469 38.6634 42.7416
 18 37.7360  27.0892 39.6030 43.6738
 24 34.3284  38.4650 38.0056 44.8848 
 32 38.9474  30.7635 41.2532 44.7373 26.2
 36 34.2758  29.2967 39.3480 44.6026
 48 39.5727  27.5308 38.7637 42.2719 28.3
 64 38.7881  26.2919 38.3114 41.1046
 72 39.6344  26.0240 42.1180 42.1657 28.7
 96 36.0319  23.9242 39.7826 42.51
128   -        -       -       -     26.9
144 38.4982  21.8491 41.4250 42.8105

